Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
TristanSnell,"February 23, 2023 09:19 PM","Fox News just threw Trump under the bus (or in this case, train) — pinning him with responsibility for the East Palestine disaster.",5640,1930,155,128116
TristanSnell,"February 25, 2023 12:31 AM",Republican leaders are telling 2 big lies about East Palestine — here’s the truth:,3649,1790,885,150426
BernardKerik,"September 11, 2023 09:51 AM",#NeverForget #NeverForgive   No plea deals for 9/11 terrorists!,1014,262,83,33393
TomFitton,"May 19, 2023 05:39 AM","Biden gang walks back claim drone strike killed senior al-Qaeda leader  ""U.S. military officials are walking back claims that a recent strike in Syria killed an influential al-Qaeda figure, following assertions by the dead man’s family that he had no ties to terrorists but was a",1873,575,75,115012
jimmy_dore,"February 08, 2023 06:18 PM","The U.S. is doing what it always does, terrorize the world for corporate profits.   Here Seymour Hersh explains EXACTLY how the United States blew up The Nord Stream pipeline so US companies could sell more Natural Gas to Europe.    Were The Terrorists.  …",5239,1465,257,279966
RonFilipkowski,"October 19, 2022 10:01 PM","Dershowitz said Trump asked him at dinner why only 27% of Jews voted for him when he strongly supported Israel. Dersh said he told Trump Jews also care about gay rights, abortion, climate change, gun control and separation of church and state, and he was terrible on those.",1337,303,724,554681
RonFilipkowski,"February 17, 2023 12:34 AM","Rep. Troy Nehls is in E. Palestine and assures everyone that the city’s water is safe to drink, then demonstrates it by drinking a cup of tap water from the China Cafe. “The Fire Chief, everybody says the water is clean to drink.”",7409,1887,481,1786908
RonFilipkowski,"February 17, 2023 05:52 PM","For every Repub trying to blame the Admin for E. Palestine, I continue to cite Steve Bannon, who again today placed the blame every step of the way on DeWine & Norfolk Southern. Says the RR and DeWine did release & burn of chems because they wanted to clear tracks ASAP to get",1012,208,421,343494
RonFilipkowski,"August 20, 2023 01:08 PM","Right-wing “independent journalist” who flew in to Maui (he also went into E. Palestine) after the fire is confronted by angry residents while live on Steve Bannon’s show, who said he is exploiting them for politics and using up precious resources.",25397,6635,3265,2957646
anthonyzenkus,"November 24, 2022 02:55 PM",You cannot say you care about women in Iran if you dont speak out for women in Palestine.,1471,642,49,45843
anthonyzenkus,"March 20, 2023 03:38 AM",Get this: They found dioxin far above safe levels in East Palestine water and the federal gov wont clean it up because Obama killed EPA proposal requiring the gov to lower the threshold for cleanup.  Democrats ignored the science and people will die because of it.,1471,642,49,45843
benshapiro,"January 30, 2023 02:48 PM","I mean look at this vile shit from the NYT. Israels military killed TERRORISTS. Palestinian terrorists killed SYNAGOGUE ATTENDEES. To the NYT, its all just a cycle of violence:",1417,139,47,189279
benshapiro,"January 30, 2023 02:50 PM","This is all part of a broader Leftist narrative that its the new right-wing Israeli government ""raising risk of escalation"" when 13-year-old terrorists shoot people going to synagogue, Hamas cheers, and the PA cuts off security cooperation. Look at this pathetic NYT headline:",1026,98,59,153338
